identifier,name,has_kiosk,needs_maintenance,dock_count,docked_bike_count,address,latitude,longitude
21,Florence Bank Station,0,0,7,4,19 Meadow Street Florence MA @ Lilly Library,42.335499,-72.673988
24,Florence Center,0,0,10,2,31 Main Street Florence MA,42.331380,-72.663650
30,Jackson Street,0,0,16,8,7A-7D Jackson Street Northampton MA,42.330139,-72.645279
25,Cooley Dickinson Health Care,0,1,14,6,51 Locust Street Northampton MA,42.332111,-72.653954
29,State St/Mass Central Rail Trail,0,0,10,4,State Street/Mass Central Rail Trail,42.3331764,-72.6717064
33,Northampton High School,0,0,15,8,380 Elm Street Northampton MA,42.3252413,-72.6507929
20,Village Hill/State Hospital,0,0,14,6,Village Hill/State Hospital,42.3137038,-72.6507563
26,John M Greene Hall/Smith College,0,0,16,5,1 Chapin Way Northampton MA @ John M. Greene Hall,42.3194444,-73.6402443
23,Forbes Library,0,0,13,6,20 West Street Northampton MA,42.3166597,-72.637956
27,Pulaski Park/Downtown,1,0,11,3,274 Main Street Northampton MA at Pulaski Park,42.317162,-72.6355115
31,Main Street/Court House,0,1,10,3,99 Main Street Northampton MA,42.319515,-72.632782
28,Northampton Train Station,1,0,13,5,Northampton Train Station,42.3188531,-72.6286286
32,Main Street/Bridge Street,0,0,15,8,1 Bridge Street Northampton MA,42.3204713,-72.6302873
22,YMCA/Childs Park,0,0,17,8,YMCA/Childs Park,42.3288979,-72.6464827